opp_puntyds_punt,opp_conv3rddownatt_conv,int_ret_yds_td,opp_offydsperplay,fd_rush_pass_pen,fumbles_num_lost,opp_passyds,opp_intret_yds_td,opp_redzoneatt_scores,fgsuccesspercent,opp_kickoffretyds_ret,opp_puntpunts_yds,rush_att_yds_td,att_made_2ptconv,offenseydsperplay,pat_att_made,opp_ppg,opp_kickoffret_ret_yds_td,redzonesuccesspercent,opp_fgatt_made,fg_att_made,opp_rushatt_yds_td,successpercent2ptconv,convpercent4thdown,pen_num_yds,pass_att_comp_int_td,opp_passrating,rushing,opp_redzonesuccesspercent,convpercent3rddown,opp_offplays_yds,opp_rushyds_att,pass_rating,opp_conv2ptatt_made,timeofpossessionpergame,games_pts,firstdowns,opp_conv4thdownpercent,opp_pennum_yds,patsuccesspercent,opp_patatt_made,yardsperpuntreturn,opp_conv4thdownatt_conv,opp_firstdowns_total,opp_pryds_ret,opp_firstdowns_rush_pass_pen,opp_timeofposs_game,pass_yds,redzone_att_scores,opp_prret_yds_td,ppg,off_plays_yds,opp_conv3rddownpercent,opp_conv2ptsuccesspercent,att_conv_4thdown,punts_yds,team,opp_patsuccesspercent,opp_passatt_comp_int_td,opp_fgsuccesspercent,opp_games_pts,att_conv_3rddown,opp_fumblesnum_lost,pageUrl
42.57,170 - 61,14 - 325 - 5,5.38,100 - 82 - 14,24 - 12,2440,10 - 104 - 2,39 - 27,71.40%,20.08,65 - 2767,488 - 1502 - 11,1-Mar,4.33,30 - 29,24.8,48 - 964 - 0,81.82%,17 - 12,21 - 15,474 - 1925 - 18,33.33%,45.45%,84 - 673,324 - 171 - 10 - 15,122.51,3.08,69.23%,31.89%,812 - 4365,4.06,114.15,0 - 0,30:29.7,12 - 276,196,52.94%,68 - 583,96.70%,37 - 36,18.19,17 - 9,216,7.3,101 - 97 - 18,29:30.3,2016,33 - 27,33 - 241 - 0,23,812 - 3518,35.88%,-,5-Nov,82 - 3211,Florida International,97.30%,338 - 181 - 14 - 17,70.60%,12 - 298,185 - 59,25 - 19,http://www.cfbstats.com/2014/team/231
42.38,212 - 93,14 - 156 - 2,5.51,111 - 187 - 24,23 - 12,3175,20 - 132 - 0,52 - 39,90%,18.8,64 - 2712,451 - 1933 - 27,0 - 0,6.39,55 - 55,25.6,45 - 846 - 0,91.53%,25 - 18,30 - 27,573 - 2382 - 21,-,0%,88 - 683,516 - 330 - 20 - 26,128.57,4.29,75%,45.45%,1008 - 5557,4.16,141.95,1-Feb,28:56.6,14 - 472,322,30.43%,76 - 670,100%,42 - 38,10.53,23 - 7,295,7.08,146 - 131 - 18,31:03.4,4246,59 - 54,13 - 92 - 0,33.7,967 - 6179,43.87%,50%,Jun-00,48 - 1966,Florida State,90.50%,435 - 248 - 14 - 22,72%,14 - 358,176 - 80,23 - 12,http://www.cfbstats.com/2014/team/234
41.42,197 - 76,16 - 138 - 2,4.55,111 - 86 - 13,19 - 10,2563,14 - 280 - 2,37 - 29,79.20%,22.4,76 - 3148,517 - 2252 - 22,0 - 0,5.24,43 - 42,21.1,47 - 1053 - 1,90.91%,20 - 15,24 - 19,440 - 1394 - 10,-,53.33%,80 - 710,324 - 169 - 14 - 18,107.41,4.36,78.38%,36.46%,869 - 3957,3.17,117.83,1-Feb,29:55.7,12 - 363,210,31.58%,87 - 699,97.70%,27 - 26,12.04,19 - 6,216,8.76,78 - 114 - 24,30:04.3,2159,44 - 40,25 - 219 - 1,30.3,841 - 4411,38.58%,50%,15 - 8,65 - 2832,Florida,96.30%,429 - 228 - 16 - 15,75%,12 - 253,192 - 70,29 - 14,http://www.cfbstats.com/2014/team/235
41.17,166 - 67,13 - 277 - 2,5.49,201 - 49 - 11,22 - 8,2813,4 - 73 - 0,37 - 29,71.40%,21.28,53 - 2182,641 - 4559 - 55,1-Mar,7.34,61 - 53,23.4,47 - 1000 - 0,88.14%,13 - 8,14 - 10,432 - 1844 - 19,33.33%,62.50%,57 - 550,155 - 90 - 4 - 7,123.19,7.11,78.38%,48.99%,849 - 4657,4.27,137.5,2-Apr,32:16.3,12 - 469,261,39.13%,51 - 406,86.90%,33 - 31,5.12,23 - 9,254,12.17,112 - 128 - 14,27:42.1,1286,59 - 52,6 - 73 - 0,39.1,796 - 5845,40.36%,50%,16 - 10,40 - 1531,Georgia Southern,93.90%,417 - 244 - 13 - 18,61.50%,12 - 281,149 - 73,17 - 7,http://www.cfbstats.com/2014/team/253
40.13,161 - 83,3/28/2000,6.57,84 - 138 - 22,22 - 12,2324,18 - 247 - 3,68 - 62,87.50%,20.21,38 - 1525,390 - 1156 - 13,Jan-00,5.39,35 - 35,43.3,28 - 566 - 0,82.35%,21 - 18,7-Aug,582 - 3641 - 41,0%,56.25%,66 - 514,446 - 264 - 18 - 23,149.42,2.96,91.18%,46.51%,908 - 5965,6.26,131.2,0 - 0,28:21.9,12 - 272,244,61.11%,71 - 637,100%,67 - 64,11,18 - 11,307,13.5,182 - 115 - 10,31:38.1,3348,34 - 28,16 - 216 - 0,22.7,836 - 4504,51.55%,-,16 - 9,60 - 2210,Georgia State,95.50%,326 - 222 - 3 - 23,85.70%,12 - 520,172 - 80,14 - 5,http://www.cfbstats.com/2014/team/254
39.22,169 - 77,18 - 328 - 5,6.32,259 - 78 - 13,20 - 12,3412,6/27/2000,53 - 42,61.10%,22.64,41 - 1608,790 - 4789 - 47,Jun-00,6.72,66 - 65,25.7,33 - 747 - 0,80.82%,21 - 18,18 - 11,463 - 2346 - 24,0%,70.59%,69 - 576,203 - 106 - 6 - 19,132.88,6.06,79.25%,57.89%,911 - 5758,5.07,155.08,2-Apr,34:09.4,14 - 530,350,54.55%,75 - 616,98.50%,40 - 38,8.08,22 - 12,300,6.56,125 - 160 - 15,25:50.6,1882,73 - 59,16 - 105 - 0,37.9,993 - 6671,45.56%,50%,17 - 12,32 - 1285,Georgia Tech,95%,448 - 282 - 18 - 19,85.70%,14 - 360,171 - 99,20 - 11,http://www.cfbstats.com/2014/team/255
41.34,191 - 75,16 - 166 - 1,4.84,154 - 126 - 18,21 - 7,2215,6 - 41 - 0,40 - 31,76.20%,19.25,74 - 3059,555 - 3352 - 38,1-Feb,6.79,68 - 67,20.7,64 - 1232 - 0,85.07%,7-Nov,21 - 16,526 - 2169 - 23,50%,80%,65 - 527,322 - 217 - 6 - 24,105.8,6.04,77.50%,49.39%,905 - 4384,4.12,156.05,1-Apr,29:16.2,13 - 537,298,63.16%,67 - 587,98.50%,32 - 30,10.48,19 - 12,252,4.7,133 - 100 - 19,30:43.8,2599,67 - 57,10 - 47 - 0,41.3,877 - 5951,39.27%,25%,15 - 12,43 - 1630,Georgia,93.80%,379 - 204 - 16 - 13,63.60%,13 - 269,164 - 81,25 - 13,http://www.cfbstats.com/2014/team/257
41.06,207 - 81,11 - 139 - 0,5.67,110 - 119 - 25,19 - 13,3196,14 - 136 - 0,51 - 40,78.30%,27.5,82 - 3367,524 - 1943 - 15,1-Mar,4.77,28 - 28,26.8,28 - 770 - 0,82.98%,15 - 7,23 - 18,537 - 2240 - 19,33.33%,70.37%,80 - 640,469 - 231 - 14 - 15,136.63,3.71,78.43%,33.33%,958 - 5436,4.17,103.87,0 - 0,28:47.4,13 - 272,254,57.14%,83 - 698,100%,47 - 46,8.81,21 - 12,273,1.61,129 - 125 - 19,31:12.6,2794,47 - 39,18 - 29 - 0,20.9,993 - 4737,39.13%,-,27 - 19,86 - 3554,Hawai'i,97.90%,421 - 243 - 11 - 26,46.70%,13 - 349,231 - 77,22 - 9,http://www.cfbstats.com/2014/team/277
40.65,194 - 75,19 - 286 - 1,4.88,130 - 123 - 33,16 - 7,2601,15 - 108 - 0,44 - 38,69.60%,21.48,69 - 2805,495 - 2390 - 28,1-Jan,5.7,48 - 43,20.6,52 - 1117 - 0,75.44%,18 - 11,23 - 16,503 - 1863 - 18,100%,52.17%,84 - 771,450 - 272 - 15 - 18,111.66,4.83,86.36%,40.51%,915 - 4464,3.7,122.84,0 - 0,29:37.9,13 - 387,286,36.84%,104 - 982,89.60%,33 - 33,5.67,19 - 7,248,4.5,114 - 114 - 20,30:22.1,2993,57 - 43,22 - 99 - 0,29.8,945 - 5383,38.66%,-,23 - 12,56 - 2241,Houston,100%,412 - 230 - 19 - 15,61.10%,13 - 268,195 - 79,24 - 11,http://www.cfbstats.com/2014/team/288
39.37,148 - 67,8 - 46 - 0,6.93,98 - 134 - 26,8-Dec,2382,20 - 274 - 3,40 - 34,57.90%,21.39,43 - 1693,439 - 1561 - 22,1-Jun,5.21,29 - 28,37.3,38 - 813 - 0,72%,18 - 12,19 - 11,482 - 2708 - 32,16.67%,57.14%,75 - 727,442 - 257 - 20 - 13,159.72,3.56,85%,41.67%,734 - 5090,5.62,116.41,Jan-00,31:19.2,11 - 275,258,50%,78 - 660,96.60%,53 - 50,6.15,6-Dec,225,8.6,116 - 91 - 18,28:40.3,3031,50 - 36,15 - 129 - 0,25,881 - 4592,45.27%,0%,35 - 20,44 - 2101,Idaho,94.30%,252 - 159 - 8 - 18,66.70%,11 - 410,180 - 75,9-Dec,http://www.cfbstats.com/2014/team/295
39.14,203 - 85,7 - 203 - 3,6.01,84 - 135 - 29,17 - 10,2824,12 - 272 - 2,50 - 45,52.90%,23.3,63 - 2466,413 - 1527 - 16,Mar-00,5.41,42 - 38,34,27 - 629 - 1,74%,21 - 15,17 - 9,617 - 3109 - 31,0%,38.46%,79 - 669,470 - 287 - 12 - 25,136.01,3.7,90%,35.83%,987 - 5933,5.04,131.54,3-Mar,27:42.8,13 - 337,248,53.85%,70 - 595,90.50%,53 - 53,9.1,26 - 14,292,7.91,152 - 117 - 23,32:17.2,3247,50 - 37,22 - 174 - 0,25.9,883 - 4774,41.87%,100%,13 - 5,78 - 3422,Illinois,100%,370 - 214 - 7 - 20,71.40%,13 - 442,187 - 67,21 - 12,http://www.cfbstats.com/2014/team/301
39.52,183 - 66,13 - 110 - 1,5.85,134 - 73 - 19,20 - 10,3013,9 - 147 - 1,45 - 43,63.60%,22.92,67 - 2648,539 - 3163 - 29,1-Feb,5.7,35 - 35,32.8,24 - 550 - 0,82.35%,26 - 20,22 - 14,450 - 2192 - 22,50%,35%,78 - 728,313 - 168 - 9 - 7,131.2,5.87,95.56%,30.22%,890 - 5205,4.87,100.84,Jan-00,28:19.7,12 - 301,226,75%,56 - 494,100%,47 - 46,5.18,16 - 12,268,10.83,110 - 135 - 23,31:40.3,1697,34 - 28,18 - 195 - 1,25.1,852 - 4860,36.07%,0%,20 - 7,77 - 3133,Indiana,97.90%,440 - 271 - 13 - 24,76.90%,12 - 394,182 - 55,4-Sep,http://www.cfbstats.com/2014/team/306
42.98,182 - 84,10 - 65 - 0,6.53,92 - 141 - 23,13 - 5,3392,11 - 148 - 2,60 - 53,78.60%,17.95,49 - 2106,402 - 1489 - 12,0 - 0,4.9,35 - 35,38.8,40 - 718 - 1,81.40%,23 - 21,14 - 11,521 - 2955 - 35,-,31.58%,51 - 490,510 - 282 - 11 - 21,135.47,3.7,88.33%,42.29%,972 - 6347,5.67,113.67,Feb-00,28:30.7,12 - 278,256,59.09%,79 - 663,100%,56 - 55,11.14,22 - 13,328,3.72,156 - 150 - 22,31:29.2,2981,43 - 35,18 - 67 - 0,23.2,912 - 4470,46.15%,0%,19 - 6,76 - 2929,Iowa State,98.20%,451 - 280 - 10 - 20,91.30%,12 - 466,201 - 85,6-Oct,http://www.cfbstats.com/2014/team/311
39.09,190 - 70,13 - 169 - 2,5.28,123 - 130 - 27,21 - 15,2287,7 - 140 - 2,37 - 33,70.60%,14.8,79 - 3088,514 - 2120 - 22,1-Feb,5.47,45 - 45,25.6,25 - 370 - 0,78.57%,21 - 16,17 - 12,495 - 2188 - 19,50%,60.87%,46 - 384,437 - 265 - 7 - 21,117.75,4.12,89.19%,44.78%,847 - 4475,4.42,132.52,1-Jan,31:26.0,13 - 367,280,66.67%,83 - 775,100%,39 - 37,5.13,8-Dec,219,15.13,106 - 101 - 12,28:34.0,3081,56 - 44,15 - 227 - 1,28.2,951 - 5201,36.84%,100%,23 - 14,65 - 2459,Iowa,94.90%,352 - 189 - 13 - 18,76.20%,13 - 333,201 - 90,3-Nov,http://www.cfbstats.com/2014/team/312
40.09,178 - 76,15 - 42 - 1,5.46,104 - 162 - 28,5-Dec,2977,8 - 115 - 1,39 - 31,79.30%,17.97,68 - 2726,476 - 1745 - 30,1-Mar,6.15,54 - 52,23.2,60 - 1078 - 0,90.32%,14 - 11,29 - 23,440 - 1824 - 17,33.33%,68.75%,57 - 511,415 - 271 - 8 - 23,127.35,3.67,79.49%,45.93%,879 - 4801,4.15,155.35,Feb-00,32:43.9,13 - 465,294,42.86%,87 - 783,96.30%,37 - 34,18,14 - 6,262,11.09,98 - 153 - 11,27:16.1,3736,62 - 56,11 - 122 - 1,35.8,891 - 5481,42.70%,0%,16 - 11,48 - 1914,Kansas State,91.90%,439 - 273 - 15 - 20,78.60%,13 - 301,172 - 79,14 - 6,http://www.cfbstats.com/2014/team/327
40.82,183 - 76,9 - 168 - 0,6.29,81 - 104 - 12,24 - 5,2922,13 - 135 - 0,48 - 36,60%,26.9,56 - 2286,466 - 1454 - 11,0 - 0,4.62,27 - 25,33.3,30 - 807 - 2,77.42%,28 - 24,15 - 9,466 - 2516 - 22,-,20%,76 - 669,376 - 204 - 13 - 14,133.6,3.12,75%,34.33%,865 - 5438,5.4,114.04,0 - 0,30:15.9,12 - 214,197,65%,71 - 536,92.60%,47 - 45,12.43,20 - 13,263,8.16,116 - 123 - 24,29:44.1,2435,31 - 24,32 - 261 - 1,17.8,842 - 3889,41.53%,-,20 - 4,84 - 3694,Kansas,95.70%,399 - 233 - 9 - 22,85.70%,12 - 399,201 - 69,21 - 12,http://www.cfbstats.com/2014/team/328
41.28,169 - 77,8 - 87 - 0,5.75,49 - 126 - 23,4-Dec,2379,17 - 148 - 2,46 - 39,55.60%,22,54 - 2229,277 - 900 - 6,1-Apr,4.83,18 - 16,29,30 - 660 - 0,71.88%,18 - 15,18 - 10,492 - 2354 - 19,25%,64.29%,65 - 574,442 - 244 - 17 - 16,130.29,3.25,84.78%,30.26%,823 - 4733,4.78,108.3,0 - 0,29:03.1,11 - 180,198,38.46%,77 - 661,88.90%,39 - 38,6.2,13 - 5,241,8.81,115 - 100 - 26,30:56.9,2570,32 - 23,21 - 185 - 0,16.4,719 - 3470,45.56%,-,14 - 9,69 - 2966,Kent State,97.40%,331 - 188 - 8 - 18,83.30%,11 - 319,152 - 46,18 - 9,http://www.cfbstats.com/2014/team/331
41.67,181 - 79,15 - 309 - 4,5.5,105 - 108 - 18,20 - 4,2589,11 - 180 - 2,44 - 41,77.80%,22.51,63 - 2625,444 - 1838 - 21,0 - 0,5.43,41 - 41,31.3,39 - 878 - 2,87.18%,20 - 14,27 - 21,511 - 2294 - 20,-,41.67%,66 - 604,405 - 228 - 11 - 14,126.54,4.14,93.18%,33.88%,888 - 4883,4.49,119.81,Jan-00,28:40.4,12 - 350,231,64.29%,58 - 499,100%,46 - 45,6.85,14 - 9,270,12.65,127 - 125 - 18,31:19.1,2774,39 - 34,20 - 253 - 2,29.2,849 - 4612,43.65%,0%,24 - 10,66 - 2810,Kentucky,97.80%,377 - 217 - 15 - 22,70%,12 - 375,183 - 62,24 - 8,http://www.cfbstats.com/2014/team/334
41.5,197 - 71,10 - 83 - 1,4.87,158 - 85 - 19,23 - 8,2134,9/23/2000,32 - 25,68.40%,19.62,90 - 3735,621 - 2919 - 25,2-Apr,5.62,42 - 40,17.5,29 - 569 - 0,78.72%,15 - 13,19 - 13,460 - 1985 - 16,50%,56.25%,71 - 595,276 - 138 - 9 - 17,101.63,4.7,78.13%,39.89%,845 - 4119,4.32,128.26,0 - 0,33:08.2,13 - 359,262,46.67%,57 - 510,95.20%,27 - 27,10.77,15 - 7,202,9.14,100 - 89 - 13,26:51.8,2118,47 - 37,21 - 192 - 1,27.6,897 - 5037,36.04%,-,16 - 9,71 - 3189,LSU,100%,385 - 199 - 10 - 10,86.70%,13 - 228,178 - 71,18 - 10,http://www.cfbstats.com/2014/team/365
39.89,219 - 76,26 - 343 - 2,4.94,104 - 146 - 30,26 - 13,3420,13 - 75 - 0,48 - 41,63%,21.87,72 - 2872,490 - 2080 - 32,Jan-00,5.86,67 - 64,24.7,76 - 1662 - 1,89.09%,29 - 21,27 - 17,500 - 1655 - 19,0%,66.67%,69 - 555,467 - 270 - 13 - 30,115.9,4.24,85.42%,39.90%,1028 - 5075,3.31,136.96,Jan-00,29:40.5,14 - 523,280,68%,88 - 842,95.50%,38 - 37,8.29,25 - 17,279,10.4,103 - 162 - 14,31:23.8,3531,55 - 49,20 - 208 - 1,37.4,957 - 5611,34.70%,0%,8-Dec,68 - 2528,Louisiana Tech,97.40%,528 - 314 - 26 - 19,72.40%,14 - 346,198 - 79,27 - 16,http://www.cfbstats.com/2014/team/366
42.13,195 - 62,26 - 310 - 1,4.75,116 - 133 - 16,25 - 16,2595,10 - 117 - 1,39 - 30,78.90%,22.6,79 - 3328,511 - 1855 - 28,Jan-00,5.46,50 - 50,21.8,45 - 1017 - 0,82.76%,26 - 23,19 - 15,435 - 1416 - 12,0%,52.38%,90 - 641,428 - 237 - 10 - 21,105.65,3.63,76.92%,39.20%,845 - 4011,3.26,131.18,1-Mar,32:31.6,13 - 405,265,25%,65 - 554,100%,28 - 26,7.41,16 - 4,199,9.71,74 - 110 - 15,27:28.4,3276,58 - 48,31 - 301 - 1,31.2,939 - 5131,31.79%,33.33%,21 - 11,73 - 2909,Louisville,92.90%,410 - 221 - 26 - 14,88.50%,13 - 283,199 - 78,4-Nov,http://www.cfbstats.com/2014/team/367
38.92,220 - 68,13 - 173 - 1,4.73,161 - 183 - 22,21 - 11,2756,13 - 109 - 0,51 - 39,81%,21.11,93 - 3620,559 - 3807 - 40,Jan-00,7.59,83 - 83,21,56 - 1182 - 0,84.51%,20 - 15,21 - 17,590 - 2243 - 15,0%,50%,119 - 1124,473 - 279 - 13 - 40,113.48,6.81,76.47%,51.63%,1056 - 4999,3.8,152.83,1-Mar,28:33.0,14 - 638,366,24%,85 - 819,100%,33 - 31,8.25,25 - 6,301,10.75,138 - 127 - 36,31:27.0,4022,71 - 60,12 - 129 - 0,45.6,1032 - 7829,30.91%,33.33%,20 - 10,43 - 1859,Marshall,93.90%,466 - 254 - 13 - 21,75%,14 - 294,184 - 95,23 - 9,http://www.cfbstats.com/2014/team/388
39.6,224 - 90,9 - 172 - 2,5.45,88 - 119 - 20,18 - 8,3046,14 - 140 - 2,60 - 50,94.70%,22.87,67 - 2653,428 - 1584 - 21,1-Jan,5.26,44 - 44,30.2,45 - 1029 - 0,91.43%,31 - 23,19 - 18,584 - 2625 - 24,100%,53.85%,77 - 677,418 - 228 - 14 - 19,121.39,3.7,83.33%,32.43%,1040 - 5671,4.49,120.38,Jan-00,26:56.1,13 - 370,227,48.15%,82 - 686,100%,45 - 45,12.45,27 - 13,291,10.48,138 - 131 - 22,32:59.2,2863,35 - 32,31 - 325 - 0,28.5,846 - 4447,40.18%,0%,13 - 7,86 - 3487,Maryland,100%,456 - 253 - 9 - 19,74.20%,13 - 392,185 - 60,21 - 13,http://www.cfbstats.com/2014/team/392
41.05,185 - 77,12 - 184 - 1,5.75,79 - 156 - 32,19 - 10,3069,13 - 179 - 0,48 - 41,54.50%,19.65,56 - 2299,387 - 1312 - 16,1-Jan,5.75,44 - 38,33,52 - 1022 - 0,70.37%,19 - 14,6-Nov,492 - 2301 - 23,100%,52.78%,73 - 617,492 - 269 - 13 - 27,133.16,3.39,85.42%,35.80%,934 - 5370,4.68,131.38,1-Mar,27:15.8,12 - 328,267,54.17%,95 - 908,86.40%,48 - 46,5.5,24 - 13,281,6.19,118 - 138 - 25,32:44.2,3741,54 - 38,16 - 99 - 1,27.3,879 - 5053,41.62%,33.33%,36 - 19,58 - 2150,Massachusetts,95.80%,442 - 269 - 12 - 26,73.70%,12 - 396,176 - 63,14 - 5,http://www.cfbstats.com/2014/team/400
38.11,215 - 76,17 - 170 - 3,4.74,118 - 149 - 27,22 - 11,2964,9 - 217 - 1,32 - 22,65.60%,18.12,99 - 3773,594 - 2476 - 31,0 - 0,5.49,58 - 58,19.5,33 - 598 - 0,93.33%,19 - 10,32 - 21,465 - 1580 - 16,-,71.43%,81 - 770,418 - 262 - 9 - 23,106.31,4.17,68.75%,36.54%,959 - 4544,3.4,138.35,1-Feb,30:07.1,13 - 471,294,64.29%,85 - 831,100%,30 - 29,8.83,14 - 9,245,2.77,82 - 140 - 23,29:52.9,3076,60 - 56,13 - 36 - 0,36.2,1012 - 5552,35.35%,50%,14 - 10,74 - 2866,Memphis,96.70%,494 - 264 - 17 - 14,52.60%,13 - 253,208 - 76,29 - 14,http://www.cfbstats.com/2014/team/404
41.47,151 - 64,11 - 59 - 1,6.03,74 - 148 - 24,19 - 10,2812,10 - 172 - 1,57 - 48,69.20%,19.82,49 - 2032,358 - 1171 - 11,Mar-00,5.45,32 - 31,31.8,45 - 892 - 2,72.50%,15 - 12,13 - 9,472 - 2399 - 24,0%,34.78%,95 - 739,468 - 226 - 10 - 23,135.74,3.27,84.21%,33.73%,864 - 5211,5.08,120.06,Feb-00,29:07.2,12 - 268,246,53.33%,66 - 621,96.90%,48 - 44,7.4,15 - 8,278,4.87,123 - 130 - 25,30:52.8,3333,40 - 29,23 - 112 - 0,22.3,826 - 4504,42.38%,0%,23 - 8,65 - 2606,Miami (Ohio),91.70%,392 - 242 - 11 - 23,80%,12 - 382,166 - 56,19 - 11,http://www.cfbstats.com/2014/team/414
41.48,191 - 77,10 - 93 - 1,4.79,114 - 127 - 17,19 - 12,2503,12 - 125 - 0,46 - 38,75%,24.57,66 - 2738,446 - 2345 - 19,1-Mar,6.68,44 - 40,24.3,51 - 1253 - 1,78.72%,19 - 13,24 - 18,498 - 1782 - 21,33.33%,60.87%,93 - 827,391 - 227 - 12 - 26,117.24,5.26,82.61%,36.81%,895 - 4285,3.58,143.67,Jan-00,29:16.5,13 - 380,258,50%,72 - 646,90.90%,39 - 37,6.59,22 - 11,249,6.31,111 - 109 - 29,30:38.8,3249,47 - 37,16 - 101 - 0,29.2,837 - 5594,40.31%,0%,23 - 14,52 - 2227,Miami (Florida),94.90%,397 - 229 - 10 - 14,68.40%,13 - 316,163 - 60,28 - 13,http://www.cfbstats.com/2014/team/415
40.18,182 - 57,18 - 128 - 3,5.09,153 - 154 - 14,13 - 6,2955,9 - 128 - 0,30 - 26,63.60%,22.43,77 - 3094,594 - 3057 - 44,Jan-00,6.55,73 - 73,21.5,51 - 1144 - 0,86.76%,15 - 9,22 - 14,363 - 1150 - 18,0%,52.94%,80 - 754,400 - 236 - 9 - 26,113.13,5.15,86.67%,49.74%,807 - 4105,3.17,148.47,3-May,35:21.2,13 - 559,321,47.62%,73 - 581,100%,31 - 31,5.77,21 - 10,199,10.56,67 - 112 - 20,24:38.9,3453,68 - 59,18 - 190 - 1,43,994 - 6510,31.32%,60%,17 - 9,52 - 2143,Michigan State,100%,444 - 234 - 18 - 17,60%,13 - 280,195 - 97,22 - 16,http://www.cfbstats.com/2014/team/416
38.89,179 - 68,5/13/2001,4.77,101 - 104 - 17,15 - 8,2324,18 - 322 - 2,41 - 34,71.40%,21.38,65 - 2528,425 - 1954 - 17,1-Jan,5.32,28 - 28,22.4,29 - 620 - 0,89.19%,22 - 18,21 - 15,440 - 1412 - 13,100%,38.46%,42 - 381,326 - 189 - 18 - 10,127.24,4.6,82.93%,39.10%,783 - 3736,3.21,109.68,Jan-00,30:52.2,12 - 251,222,31.25%,72 - 589,100%,30 - 29,6.29,16 - 5,199,12.67,88 - 101 - 10,29:07.8,2042,37 - 33,21 - 266 - 1,20.9,751 - 3996,37.99%,0%,13 - 5,54 - 2318,Michigan,96.70%,343 - 205 - 5 - 14,81.80%,12 - 269,156 - 61,5-Sep,http://www.cfbstats.com/2014/team/418
38.55,188 - 83,13 - 58 - 0,5.85,133 - 110 - 11,20 - 11,3236,13 - 156 - 2,51 - 43,60%,20.98,58 - 2236,530 - 2566 - 31,Apr-00,5.93,46 - 46,31.5,56 - 1175 - 0,82.98%,21 - 15,15 - 9,505 - 2191 - 19,0%,56.25%,78 - 710,343 - 224 - 13 - 17,139.95,4.84,84.31%,44.38%,927 - 5427,4.34,138,Mar-00,28:46.0,12 - 379,254,44.44%,70 - 634,100%,45 - 43,12.95,18 - 8,279,6.42,121 - 141 - 17,31:14.0,2610,47 - 39,19 - 122 - 0,31.6,873 - 5176,44.15%,0%,16 - 9,56 - 2248,Middle Tennessee,95.60%,422 - 259 - 13 - 26,71.40%,12 - 378,169 - 75,18 - 7,http://www.cfbstats.com/2014/team/419
39.91,184 - 75,15 - 179 - 2,5.43,148 - 76 - 14,22 - 11,2515,9 - 103 - 0,41 - 37,66.70%,18.87,69 - 2754,599 - 2801 - 32,Jan-00,5.45,47 - 45,24.2,30 - 566 - 0,87.50%,16 - 12,18 - 12,476 - 2271 - 18,0%,70%,69 - 605,254 - 127 - 9 - 12,118.3,4.68,90.24%,40.11%,882 - 4786,4.77,119.48,Jan-00,31:25.1,13 - 369,238,64.71%,59 - 508,95.70%,38 - 38,8.75,17 - 11,253,5.41,113 - 117 - 23,28:34.9,1844,48 - 42,22 - 119 - 0,28.4,853 - 4645,40.76%,0%,7-Oct,68 - 3025,Minnesota,100%,406 - 233 - 15 - 20,75%,13 - 314,177 - 71,29 - 15,http://www.cfbstats.com/2014/team/428
40.61,206 - 72,16 - 186 - 1,5.65,160 - 159 - 15,21 - 11,3547,12 - 36 - 0,44 - 28,75%,17.9,88 - 3574,578 - 3030 - 29,0 - 0,6.67,64 - 60,21.7,58 - 1038 - 0,81.97%,20 - 13,16 - 12,471 - 1970 - 17,-,42.86%,67 - 513,423 - 261 - 12 - 31,115.82,5.24,63.64%,45.96%,977 - 5517,4.18,152.68,Mar-00,29:37.4,13 - 480,334,40.91%,57 - 476,93.80%,32 - 31,5.96,22 - 9,268,7.21,115 - 143 - 10,30:21.5,3649,61 - 50,14 - 101 - 0,36.9,1001 - 6679,34.95%,0%,21 - 9,60 - 2574,Mississippi State,96.90%,506 - 264 - 16 - 17,65%,13 - 282,198 - 91,17 - 7,http://www.cfbstats.com/2014/team/430
