opp_puntyds_punt,opp_conv3rddownatt_conv,int_ret_yds_td,opp_offydsperplay,fd_rush_pass_pen,fumbles_num_lost,opp_passyds,opp_intret_yds_td,opp_redzoneatt_scores,fgsuccesspercent,opp_kickoffretyds_ret,opp_puntpunts_yds,rush_att_yds_td,att_made_2ptconv,offenseydsperplay,pat_att_made,opp_ppg,opp_kickoffret_ret_yds_td,redzonesuccesspercent,opp_fgatt_made,fg_att_made,opp_rushatt_yds_td,successpercent2ptconv,convpercent4thdown,pen_num_yds,pass_att_comp_int_td,opp_passrating,rushing,opp_redzonesuccesspercent,convpercent3rddown,opp_offplays_yds,opp_rushyds_att,pass_rating,opp_conv2ptatt_made,timeofpossessionpergame,games_pts,firstdowns,opp_conv4thdownpercent,opp_pennum_yds,patsuccesspercent,opp_patatt_made,yardsperpuntreturn,opp_conv4thdownatt_conv,opp_firstdowns_total,opp_pryds_ret,opp_firstdowns_rush_pass_pen,opp_timeofposs_game,pass_yds,redzone_att_scores,opp_prret_yds_td,ppg,off_plays_yds,opp_conv3rddownpercent,opp_conv2ptsuccesspercent,att_conv_4thdown,punts_yds,team,opp_patsuccesspercent,opp_passatt_comp_int_td,opp_fgsuccesspercent,opp_games_pts,att_conv_3rddown,opp_fumblesnum_lost,pageUrl
43.57,197 - 65,22 - 371 - 3,4.67,97 - 149 - 19,19 - 10,2497,15 - 190 - 2,34 - 25,56.30%,21.26,89 - 3878,476 - 2021 - 21,0 - 0,6.03,49 - 47,16,42 - 893 - 0,70.73%,19 - 13,16 - 9,513 - 1780 - 9,-,45%,69 - 549,428 - 258 - 15 - 24,110.77,4.25,73.53%,39.34%,915 - 4277,3.47,139.03,0 - 0,28:14.2,13 - 368,265,53.33%,78 - 696,95.90%,23 - 23,6.36,15 - 8,239,3.47,106 - 118 - 15,31:45.9,3427,41 - 29,19 - 66 - 0,28.3,904 - 5448,32.99%,-,20 - 9,68 - 2943,Mississippi,100%,402 - 240 - 22 - 12,68.40%,13 - 208,183 - 72,18 - 10,http://www.cfbstats.com/2014/team/433
41.41,219 - 81,12 - 197 - 1,4.82,129 - 122 - 19,3-Oct,2978,13 - 116 - 0,38 - 33,72%,24.85,83 - 3437,539 - 2490 - 17,2-Mar,5.39,45 - 43,21.1,34 - 845 - 0,93.33%,18 - 14,25 - 18,531 - 1865 - 18,66.67%,81.25%,102 - 815,415 - 221 - 13 - 25,121.01,4.62,86.84%,42.86%,1005 - 4843,3.51,120.46,2-Feb,28:59.8,14 - 389,270,50%,83 - 671,95.60%,34 - 33,10.41,24 - 12,275,8.27,113 - 137 - 25,31:00.2,2648,45 - 42,22 - 182 - 0,27.8,954 - 5138,36.99%,100%,16 - 13,75 - 3086,Missouri,97.10%,474 - 288 - 12 - 18,77.80%,14 - 295,217 - 93,32 - 13,http://www.cfbstats.com/2014/team/434
41.57,194 - 95,12 - 232 - 3,6.53,128 - 158 - 25,23 - 10,3346,13 - 106 - 2,54 - 48,46.20%,17.41,61 - 2536,496 - 1968 - 26,1-May,5.56,55 - 52,39,34 - 592 - 0,83.64%,17 - 12,13 - 6,599 - 3126 - 33,20%,47.83%,99 - 821,509 - 315 - 13 - 29,150.35,3.97,88.89%,42.42%,991 - 6472,5.22,135.3,1-May,25:28.4,13 - 432,311,83.33%,80 - 646,94.50%,62 - 61,4.55,10-Dec,316,4.14,154 - 138 - 24,34:31.6,3619,55 - 46,14 - 58 - 0,33.2,1005 - 5587,48.97%,20%,23 - 11,69 - 2784,North Carolina,98.40%,392 - 230 - 12 - 31,70.60%,13 - 507,198 - 84,16 - 11,http://www.cfbstats.com/2014/team/457
38.76,194 - 58,13 - 124 - 0,5.37,149 - 115 - 25,27 - 13,2676,12 - 181 - 2,44 - 36,68.20%,21.15,90 - 3488,587 - 3123 - 35,1-Mar,6.22,60 - 60,26.4,59 - 1248 - 1,88.33%,16 - 11,22 - 15,488 - 2312 - 25,33.33%,46.15%,75 - 655,359 - 190 - 12 - 24,104.82,5.32,81.82%,41.30%,929 - 4988,4.74,132.81,0 - 0,30:16.5,13 - 491,289,50%,78 - 680,100%,44 - 44,15.9,20 - 10,246,8.94,113 - 118 - 15,29:43.5,2757,60 - 53,16 - 143 - 1,37.8,946 - 5880,29.90%,-,13 - 6,64 - 2628,Nebraska,100%,441 - 214 - 13 - 15,68.80%,13 - 343,184 - 76,20 - 10,http://www.cfbstats.com/2014/team/463
40.43,203 - 87,7 - 72 - 0,6.58,91 - 148 - 28,3-Oct,2855,22 - 225 - 1,61 - 54,62.50%,16.76,63 - 2547,466 - 1679 - 18,1-Jan,5.22,33 - 32,38.5,49 - 821 - 0,78.26%,24 - 20,24 - 15,677 - 3820 - 37,100%,51.85%,80 - 701,498 - 268 - 22 - 16,149.06,3.6,88.52%,35.19%,1014 - 6675,5.64,112.2,Jan-00,27:25.9,13 - 285,267,65.22%,84 - 812,97%,62 - 60,6.2,23 - 15,314,5.05,178 - 113 - 23,32:34.1,3357,46 - 36,21 - 106 - 0,21.9,964 - 5036,42.86%,0%,27 - 14,85 - 3452,UNLV,96.80%,337 - 194 - 7 - 25,83.30%,13 - 500,216 - 76,21 - 10,http://www.cfbstats.com/2014/team/465
40.17,195 - 80,13 - 215 - 3,5.86,137 - 122 - 15,5-Aug,3479,11 - 154 - 2,47 - 38,77.80%,19.96,59 - 2370,560 - 2671 - 27,3-Mar,5.35,45 - 43,27.2,46 - 918 - 0,92.45%,23 - 13,18 - 14,488 - 2333 - 17,100%,59.26%,73 - 646,406 - 239 - 11 - 18,135.99,4.77,80.85%,41.15%,991 - 5812,4.78,119.77,1-Feb,31:01.7,13 - 379,274,60.87%,60 - 595,95.60%,43 - 41,9.06,23 - 14,316,7.8,129 - 168 - 19,28:54.5,2498,53 - 49,25 - 195 - 0,29.2,966 - 5169,41.03%,50%,27 - 16,65 - 2815,Nevada,95.30%,503 - 332 - 13 - 26,56.50%,13 - 354,209 - 86,20 - 14,http://www.cfbstats.com/2014/team/466
41.29,158 - 70,11 - 76 - 1,6.5,108 - 134 - 14,19 - 10,2094,24 - 260 - 2,60 - 55,58.30%,22.64,52 - 2147,469 - 2152 - 19,1-Jan,5.48,38 - 37,39.1,36 - 815 - 1,82.86%,19 - 15,7-Dec,593 - 3705 - 40,100%,57.69%,57 - 407,452 - 278 - 24 - 19,131.67,4.59,91.67%,41.38%,892 - 5799,6.25,118.63,Jan-00,27:33.9,12 - 294,256,83.33%,67 - 545,97.40%,60 - 56,9.29,10-Dec,292,12.3,189 - 88 - 15,32:24.4,2899,35 - 29,23 - 283 - 2,24.5,921 - 5051,44.30%,0%,26 - 15,61 - 2312,New Mexico State,93.30%,299 - 187 - 11 - 16,78.90%,12 - 469,203 - 84,14 - 10,http://www.cfbstats.com/2014/team/472
40.98,180 - 92,11 - 151 - 1,6.82,155 - 41 - 9,25 - 12,3000,6 - 87 - 0,56 - 46,62.50%,19.3,44 - 1803,586 - 3725 - 34,1-Jan,6.52,44 - 43,35.9,23 - 444 - 0,83.33%,14 - 10,5-Aug,554 - 3228 - 40,100%,40%,52 - 498,149 - 76 - 6 - 7,141.07,6.36,82.14%,36.84%,913 - 6228,5.83,118.67,1-Mar,30:11.5,12 - 332,205,45.83%,60 - 487,97.70%,55 - 51,5,24 - 11,306,5.79,156 - 133 - 17,29:48.5,1068,30 - 25,24 - 139 - 0,27.7,735 - 4793,51.11%,33.33%,25 - 10,57 - 2384,New Mexico,92.70%,359 - 217 - 11 - 18,71.40%,12 - 431,152 - 56,19 - 8,http://www.cfbstats.com/2014/team/473
42.05,198 - 96,10 - 159 - 1,5.24,140 - 122 - 20,19 - 9,2661,6 - 204 - 2,45 - 36,70.60%,18.81,61 - 2565,508 - 2659 - 26,2-Mar,5.97,48 - 46,27,27 - 508 - 0,86.54%,21 - 15,17 - 12,521 - 2189 - 21,66.67%,50%,62 - 543,381 - 224 - 6 - 24,121.53,5.23,80%,45.76%,926 - 4850,4.2,134.9,0 - 0,29:29.5,13 - 392,282,60%,68 - 605,95.80%,43 - 42,3.65,15 - 9,269,7.75,138 - 116 - 15,30:30.5,2652,52 - 45,28 - 217 - 0,30.2,889 - 5311,48.48%,-,5-Oct,60 - 2724,North Carolina State,97.70%,405 - 226 - 10 - 19,71.40%,13 - 351,177 - 81,21 - 10,http://www.cfbstats.com/2014/team/490
40.33,173 - 66,12 - 198 - 2,5.48,106 - 86 - 21,20 - 9,2492,13 - 237 - 5,35 - 31,88.20%,16.37,69 - 2783,472 - 1838 - 21,1-Jan,4.87,39 - 39,29.8,41 - 671 - 0,94.29%,8-Oct,17 - 15,447 - 1941 - 22,100%,46.15%,63 - 603,331 - 181 - 13 - 13,128.19,3.89,88.57%,38.67%,809 - 4433,4.34,112.4,0 - 0,28:38.8,12 - 326,213,61.11%,67 - 655,100%,47 - 46,7.84,18 - 11,222,10.7,98 - 106 - 18,31:21.2,2073,35 - 33,33 - 353 - 1,27.2,803 - 3911,38.15%,-,13 - 6,73 - 3156,North Texas,97.90%,362 - 216 - 12 - 19,80%,12 - 358,181 - 70,20 - 10,http://www.cfbstats.com/2014/team/497
41.58,178 - 58,11 - 103 - 1,5.31,58 - 147 - 16,20 - 10,2279,7 - 103 - 2,42 - 35,83.30%,21.64,74 - 3077,363 - 834 - 9,Mar-00,4.7,23 - 23,26.3,22 - 476 - 0,85.29%,15 - 10,24 - 20,507 - 2200 - 22,0%,50%,53 - 425,529 - 317 - 7 - 15,124.11,2.3,83.33%,34.50%,844 - 4479,4.34,119.97,1-Feb,29:52.7,12 - 241,221,54.17%,75 - 682,100%,39 - 37,10.07,24 - 13,227,8.87,118 - 94 - 15,30:06.8,3359,34 - 29,30 - 266 - 1,20.1,892 - 4193,32.58%,50%,22 - 11,78 - 3232,Louisiana-Monroe,94.90%,337 - 196 - 11 - 16,66.70%,12 - 315,200 - 69,16 - 5,http://www.cfbstats.com/2014/team/498
40.58,214 - 93,14 - 108 - 1,5.5,183 - 121 - 15,17 - 9,3199,3 - 0 - 0,48 - 43,60.70%,19.38,76 - 3084,688 - 3488 - 36,0 - 0,5.76,56 - 54,25.6,71 - 1376 - 2,82.35%,20 - 13,28 - 17,541 - 2284 - 24,-,57.14%,82 - 794,385 - 229 - 3 - 19,123.93,5.07,89.58%,47.58%,997 - 5483,4.22,132.88,3-Apr,28:43.7,14 - 441,319,41.18%,63 - 528,96.40%,41 - 40,7.12,17 - 7,304,3.83,123 - 155 - 26,31:16.3,2689,68 - 56,18 - 69 - 0,31.5,1073 - 6177,43.46%,75%,14 - 8,67 - 2757,Northern Illinois,97.60%,456 - 265 - 14 - 18,65%,14 - 359,227 - 108,24 - 10,http://www.cfbstats.com/2014/team/503
37.92,183 - 70,15 - 213 - 1,5.25,91 - 135 - 18,17 - 9,2572,14 - 132 - 1,48 - 37,77.80%,19.49,59 - 2237,486 - 1639 - 20,4-May,4.5,28 - 26,25.2,35 - 682 - 1,81.40%,21 - 11,18 - 14,481 - 2039 - 18,80%,48.28%,61 - 522,455 - 261 - 14 - 10,116.41,3.37,77.08%,39.62%,878 - 4611,4.24,106.42,Jan-00,29:26.3,12 - 276,244,47.62%,68 - 611,92.90%,38 - 35,13.6,21 - 10,244,7.48,111 - 116 - 17,30:33.7,2598,43 - 35,27 - 202 - 1,23,941 - 4237,38.25%,0%,29 - 14,71 - 2644,Northwestern,92.10%,397 - 220 - 15 - 17,52.40%,12 - 302,212 - 84,21 - 12,http://www.cfbstats.com/2014/team/509
41.25,192 - 79,16 - 138 - 0,5.6,117 - 168 - 24,23 - 12,3029,14 - 301 - 4,50 - 42,58.30%,23.42,55 - 2269,484 - 2073 - 24,2-Mar,6.11,52 - 51,29.2,26 - 609 - 1,80.65%,20 - 12,24 - 14,525 - 2225 - 21,66.67%,50%,58 - 487,463 - 277 - 14 - 30,132.53,4.28,84%,47.64%,938 - 5254,4.24,142.49,2-Apr,29:51.2,13 - 427,309,45.83%,78 - 665,98.10%,45 - 43,8.48,24 - 11,278,5.33,126 - 136 - 16,30:08.8,3711,62 - 50,9 - 48 - 0,32.8,947 - 5784,41.15%,50%,16 - 8,51 - 2115,Notre Dame,95.60%,413 - 249 - 16 - 23,60%,13 - 379,191 - 91,13 - 7,http://www.cfbstats.com/2014/team/513
42.48,215 - 73,25 - 300 - 2,4.98,217 - 150 - 19,24 - 14,3016,12 - 256 - 2,45 - 38,65%,17.24,96 - 4078,690 - 3967 - 41,1-Jan,6.98,89 - 89,22,70 - 1207 - 0,85.14%,15 - 10,20 - 13,537 - 2120 - 24,100%,59.09%,84 - 711,409 - 260 - 12 - 42,108.17,5.75,84.44%,52.02%,1032 - 5136,3.95,167.73,Jan-00,31:30.3,15 - 672,386,52.63%,79 - 686,100%,42 - 42,11.28,19 - 10,283,5.8,120 - 135 - 28,28:29.7,3707,74 - 63,10 - 58 - 0,44.8,1099 - 7674,33.95%,0%,22 - 13,48 - 2164,Ohio State,100%,495 - 276 - 25 - 17,66.70%,15 - 330,198 - 103,19 - 8,http://www.cfbstats.com/2014/team/518
41.08,179 - 76,12 - 174 - 0,5.58,107 - 103 - 23,24 - 14,3137,9 - 64 - 2,36 - 29,65.40%,20.09,66 - 2711,470 - 1969 - 16,Jan-00,5.26,27 - 27,24.8,33 - 663 - 0,83.33%,16 - 11,26 - 17,414 - 1595 - 13,0%,46.15%,72 - 648,375 - 202 - 9 - 11,130.68,4.19,80.56%,38.98%,848 - 4732,3.85,114.16,Jan-00,29:48.1,12 - 246,233,50%,80 - 713,100%,37 - 37,8.75,14 - 7,246,5.86,98 - 133 - 15,30:11.9,2474,42 - 35,21 - 123 - 0,20.5,845 - 4443,42.46%,0%,13 - 6,63 - 2631,Ohio,100%,434 - 255 - 12 - 22,68.80%,12 - 298,177 - 69,7-Dec,http://www.cfbstats.com/2014/team/519
40.51,206 - 84,12 - 155 - 2,5.79,92 - 128 - 26,5-Nov,3499,17 - 184 - 2,48 - 41,78.60%,21.04,76 - 3079,506 - 1776 - 18,0 - 0,5.43,41 - 41,31.2,56 - 1178 - 2,90.48%,24 - 17,28 - 22,517 - 2117 - 24,-,50%,79 - 700,401 - 222 - 17 - 19,137.04,3.51,85.42%,32.82%,970 - 5616,4.09,128.49,1-Feb,27:59.6,13 - 359,246,31.25%,89 - 815,100%,49 - 47,9.77,16 - 5,286,3.16,117 - 145 - 24,32:00.4,3149,42 - 38,25 - 79 - 0,27.6,907 - 4925,40.78%,50%,16 - 8,81 - 3385,Oklahoma State,95.90%,453 - 275 - 12 - 23,70.80%,13 - 406,195 - 64,2-Dec,http://www.cfbstats.com/2014/team/521
39.2,215 - 82,12 - 191 - 3,5.14,161 - 118 - 14,7-Dec,3591,17 - 239 - 3,39 - 32,72.20%,21.31,89 - 3489,557 - 3395 - 40,0 - 0,6.41,62 - 60,25.9,26 - 554 - 0,82.76%,18 - 14,18 - 13,458 - 1383 - 15,-,60%,70 - 648,386 - 210 - 17 - 17,125.59,6.1,82.05%,40.45%,968 - 4974,3.02,117.7,Feb-00,30:19.9,13 - 473,293,52.94%,77 - 614,96.80%,40 - 37,5.8,17 - 9,264,10.65,86 - 155 - 23,29:40.1,2646,58 - 48,17 - 181 - 1,36.4,943 - 6041,38.14%,0%,15 - 9,66 - 2763,Oklahoma,92.50%,510 - 287 - 12 - 23,77.80%,13 - 337,178 - 72,19 - 7,http://www.cfbstats.com/2014/team/522
39.12,165 - 87,5 - 0 - 0,6.12,96 - 156 - 23,4-Oct,2756,16 - 146 - 1,57 - 47,60%,22.92,41 - 1604,365 - 1793 - 22,0 - 0,6.44,52 - 50,38,49 - 1123 - 1,83.33%,9-Dec,6-Oct,552 - 2670 - 30,-,60%,44 - 439,458 - 290 - 16 - 30,160.57,4.91,82.46%,41.61%,886 - 5426,4.84,142.33,2-Feb,28:04.1,12 - 392,275,75%,65 - 601,96.20%,59 - 59,9.33,16 - 12,291,22.09,159 - 123 - 9,33:10.9,3510,48 - 40,11 - 243 - 3,32.7,823 - 5303,52.73%,100%,30 - 18,41 - 1719,Old Dominion,100%,334 - 229 - 5 - 26,75%,12 - 456,149 - 62,26 - 14,http://www.cfbstats.com/2014/team/523
41.48,172 - 68,11 - 109 - 1,5.76,78 - 138 - 33,13 - 6,2977,8 - 133 - 1,42 - 36,86.40%,20.56,58 - 2406,376 - 1417 - 19,Mar-00,5.57,33 - 33,31.6,36 - 740 - 0,79.25%,23 - 17,22 - 19,412 - 1898 - 24,0%,42.11%,107 - 958,472 - 290 - 8 - 15,126.45,3.77,85.71%,31.74%,847 - 4875,4.61,127.36,2-Apr,31:51.4,12 - 308,249,62.50%,86 - 809,100%,42 - 42,6.06,16 - 10,264,6.92,100 - 133 - 31,28:07.8,3305,53 - 42,24 - 166 - 1,25.7,848 - 4722,39.53%,50%,19 - 8,70 - 2735,Oregon State,100%,435 - 256 - 11 - 20,73.90%,12 - 379,167 - 53,21 - 7,http://www.cfbstats.com/2014/team/528
42.74,242 - 102,13 - 163 - 0,5.52,183 - 198 - 25,18 - 7,3964,4/8/2000,59 - 50,85.70%,21.39,68 - 2906,644 - 3518 - 42,4-Jul,7.34,83 - 79,23.6,93 - 1989 - 0,86.25%,24 - 18,21 - 18,587 - 2481 - 22,57.14%,60.71%,123 - 1095,474 - 326 - 4 - 44,125.17,5.46,84.75%,49.49%,1168 - 6445,4.23,180.78,1-Apr,26:49.0,15 - 681,406,48.72%,91 - 809,95.20%,38 - 38,12.89,39 - 19,349,6.27,132 - 189 - 28,33:11.0,4687,80 - 69,11 - 69 - 0,45.4,1118 - 8205,42.15%,25%,28 - 17,47 - 1840,Oregon,100%,581 - 351 - 13 - 21,75%,15 - 354,198 - 98,29 - 21,http://www.cfbstats.com/2014/team/529
41.35,203 - 61,16 - 143 - 2,4.27,84 - 137 - 28,15 - 11,2317,15 - 257 - 2,39 - 32,82.80%,26.11,84 - 3473,451 - 1325 - 13,0 - 0,4.6,28 - 28,18.6,36 - 940 - 1,82.50%,26 - 18,29 - 24,443 - 1306 - 14,-,36.84%,75 - 600,497 - 276 - 15 - 13,101.15,2.94,82.05%,39.53%,849 - 3623,2.95,109.4,0 - 0,31:15.5,13 - 268,249,26.32%,90 - 788,100%,27 - 24,6.84,19 - 5,190,4.48,79 - 96 - 15,28:44.5,3034,40 - 33,21 - 94 - 0,20.6,948 - 4359,30.05%,-,19 - 7,77 - 2818,Penn State,88.90%,406 - 215 - 16 - 10,69.20%,13 - 242,215 - 85,13 - 5,http://www.cfbstats.com/2014/team/539
42.1,173 - 65,10 - 95 - 0,5.59,182 - 107 - 19,24 - 12,2586,7 - 81 - 1,38 - 32,76.20%,19.89,69 - 2905,610 - 3243 - 35,Jan-00,6.17,51 - 50,26.3,36 - 716 - 1,89.83%,13 - 10,21 - 16,465 - 2091 - 26,0%,66.67%,83 - 695,308 - 188 - 7 - 17,121.6,5.32,84.21%,46.47%,837 - 4677,4.5,140.61,2-Jun,33:49.1,13 - 414,308,61.11%,78 - 634,98%,38 - 36,7.35,18 - 11,246,4.71,118 - 112 - 16,26:10.9,2417,59 - 53,14 - 66 - 0,31.8,918 - 5660,37.57%,33.33%,15 - 10,50 - 2003,Pittsburgh,94.70%,372 - 199 - 10 - 17,76.90%,13 - 342,170 - 79,16 - 4,http://www.cfbstats.com/2014/team/545
41.74,182 - 84,10 - 223 - 1,5.58,95 - 100 - 11,17 - 8,2687,16 - 139 - 2,57 - 45,80%,19.76,50 - 2087,402 - 1886 - 17,1-Jan,4.95,33 - 32,31.7,37 - 731 - 0,83.78%,23 - 16,20 - 16,504 - 2305 - 27,100%,38.71%,60 - 518,434 - 233 - 16 - 16,125.16,4.69,78.95%,36.32%,894 - 4992,4.57,102.02,Jan-00,28:54.9,12 - 286,206,22.22%,50 - 434,97%,47 - 44,14.81,18 - 4,268,11.38,119 - 131 - 18,31:05.1,2249,37 - 31,16 - 182 - 1,23.8,836 - 4135,46.15%,0%,31 - 12,60 - 2322,Purdue,93.60%,390 - 223 - 10 - 18,69.60%,12 - 380,190 - 69,17 - 9,http://www.cfbstats.com/2014/team/559
41.31,187 - 77,9 - 167 - 1,5.74,117 - 120 - 15,4-Oct,3034,8 - 123 - 0,42 - 35,65%,27.44,62 - 2561,571 - 2181 - 22,0 - 0,5.62,48 - 47,28.5,25 - 686 - 1,91.67%,17 - 12,20 - 13,460 - 1983 - 19,-,33.33%,77 - 695,352 - 204 - 8 - 25,133.32,3.82,83.33%,44.55%,874 - 5017,4.31,148.65,0 - 0,33:36.1,13 - 374,252,25%,56 - 504,97.90%,48 - 46,7.62,20 - 5,256,8.17,111 - 124 - 21,26:23.9,3009,48 - 44,29 - 237 - 0,28.8,923 - 5190,41.18%,-,15 - 5,68 - 2853,Rice,95.80%,414 - 226 - 9 - 27,70.60%,13 - 370,202 - 90,19 - 11,http://www.cfbstats.com/2014/team/574
36.93,182 - 77,7 - 42 - 0,6.39,117 - 114 - 10,13 - 7,2996,13 - 65 - 0,54 - 42,76.20%,22.41,56 - 2068,489 - 2114 - 21,0 - 0,5.99,43 - 41,30.2,51 - 1143 - 0,90.24%,23 - 13,21 - 16,499 - 2760 - 32,-,47.06%,61 - 545,357 - 199 - 13 - 22,133.86,4.32,77.78%,35.67%,901 - 5756,5.53,138.34,Feb-00,30:16.7,13 - 347,241,42.86%,82 - 711,95.30%,49 - 47,8.29,21 - 9,276,7.07,136 - 123 - 17,29:38.7,2956,41 - 37,27 - 191 - 0,26.7,846 - 5070,42.31%,0%,17 - 8,65 - 2427,Rutgers,95.90%,402 - 241 - 7 - 18,56.50%,13 - 392,171 - 61,22 - 11,http://www.cfbstats.com/2014/team/587
41.01,193 - 79,14 - 182 - 1,4.93,129 - 105 - 18,13 - 7,2321,15 - 224 - 1,36 - 33,80%,21.57,69 - 2830,517 - 2809 - 26,Jan-00,5.92,37 - 37,19.8,49 - 1057 - 0,77.08%,15 - 9,25 - 20,522 - 2001 - 22,0%,41.67%,77 - 694,349 - 183 - 15 - 10,112.11,5.43,91.67%,42.22%,877 - 4322,3.83,109.11,0 - 0,31:19.2,13 - 325,252,60%,66 - 556,100%,33 - 33,10.35,20 - 12,234,4.33,112 - 97 - 25,28:37.0,2319,48 - 37,18 - 78 - 0,25,866 - 5128,40.93%,-,5-Dec,59 - 2113,San Diego State,100%,355 - 198 - 14 - 10,60%,13 - 258,180 - 76,18 - 12,http://www.cfbstats.com/2014/team/626
37.92,169 - 75,6 - 40 - 0,5.52,97 - 143 - 14,22 - 12,1414,14 - 174 - 1,53 - 44,46.20%,20.31,51 - 1934,454 - 1696 - 11,0 - 0,5.24,28 - 28,29.4,26 - 528 - 0,66.67%,17 - 13,26 - 12,536 - 2873 - 35,-,58.62%,52 - 439,450 - 283 - 14 - 16,108.12,3.74,83.02%,43.15%,777 - 4287,5.36,125.11,0 - 0,31:24.9,12 - 232,254,60%,59 - 456,100%,45 - 44,6.9,15 - 9,219,18.58,145 - 64 - 10,28:35.1,3038,39 - 26,12 - 223 - 2,19.3,904 - 4734,44.38%,-,29 - 17,44 - 1595,San Jose State,97.80%,241 - 134 - 6 - 6,76.50%,12 - 353,197 - 85,15 - 8,http://www.cfbstats.com/2014/team/630
41.52,200 - 82,6 - 111 - 1,5.59,129 - 123 - 20,15 - 11,2767,17 - 373 - 2,49 - 38,79.20%,16.39,67 - 2782,537 - 2327 - 16,Jan-00,5.15,33 - 30,26.4,49 - 803 - 0,78.05%,25 - 15,24 - 19,541 - 2419 - 22,0%,25%,81 - 717,412 - 218 - 17 - 17,129.3,4.33,77.55%,36.13%,927 - 5186,4.47,110.49,Mar-00,30:21.3,13 - 293,272,52.94%,79 - 730,90.90%,40 - 40,7.08,17 - 9,268,5.33,127 - 111 - 30,29:38.7,2561,41 - 32,24 - 128 - 0,22.5,949 - 4888,41%,0%,3-Dec,74 - 3094,South Alabama,100%,386 - 216 - 6 - 19,60%,13 - 343,191 - 69,21 - 15,http://www.cfbstats.com/2014/team/646
39.92,170 - 71,11 - 203 - 2,6.22,131 - 150 - 24,21 - 10,2866,11 - 116 - 1,60 - 53,72%,22.5,52 - 2076,479 - 2093 - 23,0 - 0,6.09,52 - 52,30.4,32 - 720 - 2,86.54%,30 - 19,25 - 18,514 - 2759 - 29,-,52.17%,70 - 606,468 - 277 - 11 - 28,131.68,4.37,88.33%,43.18%,904 - 5625,5.37,140.12,2-Feb,30:49.1,13 - 424,305,83.33%,80 - 736,100%,46 - 46,5,10-Dec,292,6.85,133 - 138 - 21,29:10.9,3671,52 - 45,13 - 89 - 0,32.6,947 - 5764,41.76%,100%,23 - 12,44 - 1823,South Carolina,100%,390 - 242 - 11 - 16,63.30%,13 - 395,176 - 76,15 - 8,http://www.cfbstats.com/2014/team/648
41.4,172 - 78,6 - 46 - 1,5.69,62 - 104 - 16,23 - 9,2638,11 - 145 - 2,44 - 39,76.50%,21.75,58 - 2401,376 - 1295 - 11,Jan-00,4.94,23 - 23,27,24 - 522 - 0,70.37%,16 - 12,17 - 13,487 - 2195 - 22,0%,47.37%,75 - 728,364 - 179 - 11 - 11,141.28,3.44,88.64%,37.36%,849 - 4833,4.51,107.59,0 - 0,28:21.1,12 - 206,182,83.33%,69 - 622,100%,41 - 40,7.05,10-Dec,258,8.79,114 - 127 - 17,31:38.5,2361,27 - 19,28 - 246 - 1,17.2,740 - 3656,45.35%,-,19 - 9,66 - 2888,South Florida,97.60%,362 - 249 - 6 - 16,75%,12 - 324,174 - 65,22 - 14,http://www.cfbstats.com/2014/team/651
39.99,200 - 70,14 - 212 - 2,5.3,122 - 165 - 21,14 - 7,3569,5/11/2000,54 - 40,81.80%,22.47,77 - 3079,524 - 2092 - 18,Jan-00,6.04,62 - 61,25.2,59 - 1326 - 1,86.79%,18 - 11,9-Nov,453 - 1734 - 20,0%,62.50%,115 - 1023,460 - 318 - 5 - 39,120.41,3.99,74.07%,46.63%,1001 - 5303,3.83,165.36,2-Mar,30:34.2,13 - 466,308,57.69%,81 - 713,98.40%,38 - 36,9.73,26 - 15,302,16.25,100 - 161 - 41,29:25.8,3856,53 - 46,12 - 195 - 0,35.8,984 - 5948,35%,66.67%,24 - 15,69 - 2748,USC,94.70%,548 - 322 - 14 - 20,61.10%,13 - 327,208 - 97,20 - 9,http://www.cfbstats.com/2014/team/657
