opp_puntyds_punt,opp_conv3rddownatt_conv,int_ret_yds_td,opp_offydsperplay,fd_rush_pass_pen,fumbles_num_lost,opp_passyds,opp_intret_yds_td,opp_redzoneatt_scores,fgsuccesspercent,opp_kickoffretyds_ret,opp_puntpunts_yds,rush_att_yds_td,att_made_2ptconv,offenseydsperplay,pat_att_made,opp_ppg,opp_kickoffret_ret_yds_td,redzonesuccesspercent,opp_fgatt_made,fg_att_made,opp_rushatt_yds_td,successpercent2ptconv,convpercent4thdown,pen_num_yds,pass_att_comp_int_td,opp_passrating,rushing,opp_redzonesuccesspercent,convpercent3rddown,opp_offplays_yds,opp_rushyds_att,pass_rating,opp_conv2ptatt_made,timeofpossessionpergame,games_pts,firstdowns,opp_conv4thdownpercent,opp_pennum_yds,patsuccesspercent,opp_patatt_made,yardsperpuntreturn,opp_conv4thdownatt_conv,opp_firstdowns_total,opp_pryds_ret,opp_firstdowns_rush_pass_pen,opp_timeofposs_game,pass_yds,redzone_att_scores,opp_prret_yds_td,ppg,off_plays_yds,opp_conv3rddownpercent,opp_conv2ptsuccesspercent,att_conv_4thdown,punts_yds,team,opp_patsuccesspercent,opp_passatt_comp_int_td,opp_fgsuccesspercent,opp_games_pts,att_conv_3rddown,opp_fumblesnum_lost,pageUrl
39.65,162 - 71,6/14/2000,6.62,74 - 85 - 17,25 - 16,3164,14 - 113 - 0,65 - 54,52.90%,21.7,37 - 1467,362 - 1204 - 9,1-Feb,4.08,12-Dec,41.3,27 - 586 - 1,68.97%,27 - 20,17 - 9,541 - 2829 - 32,50%,50%,74 - 632,430 - 230 - 14 - 6,157.38,3.33,83.08%,32.45%,905 - 5993,5.23,91.12,Mar-00,28:50.8,12 - 133,176,55%,83 - 801,100%,60 - 58,4.29,20 - 11,302,9,140 - 147 - 15,31:09.2,2024,29 - 20,33 - 297 - 0,11.1,792 - 3228,43.83%,0%,28 - 14,77 - 3121,SMU,96.70%,364 - 230 - 6 - 27,74.10%,12 - 496,188 - 61,15 - 10,http://www.cfbstats.com/2014/team/663
41.04,162 - 72,7 - 53 - 0,6.41,77 - 142 - 30,27 - 11,2821,15 - 123 - 1,53 - 41,76%,29.74,49 - 2011,376 - 1149 - 9,Feb-00,5.1,23 - 21,35.4,34 - 1011 - 2,76.92%,20 - 12,25 - 19,482 - 2596 - 28,0%,23.08%,77 - 731,482 - 277 - 15 - 14,145.97,3.06,77.36%,34.24%,845 - 5417,5.39,117.15,Feb-00,29:25.1,12 - 228,249,60%,72 - 652,91.30%,54 - 53,8.94,15 - 9,279,6.72,117 - 139 - 23,30:34.9,3231,39 - 30,18 - 121 - 0,19,858 - 4380,44.44%,0%,13 - 3,67 - 2644,Southern Mississippi,98.10%,363 - 231 - 7 - 23,60%,12 - 425,184 - 63,14 - 9,http://www.cfbstats.com/2014/team/664
40.45,200 - 80,13 - 225 - 1,5.71,142 - 123 - 13,14 - 5,2919,7 - 181 - 2,47 - 37,63.20%,21.17,65 - 2629,538 - 2862 - 29,2-Feb,6.06,50 - 48,27.7,24 - 508 - 0,86%,19 - 13,19 - 12,522 - 2434 - 21,100%,60%,75 - 708,382 - 250 - 7 - 22,129.95,5.32,78.72%,38.55%,938 - 5353,4.66,140.4,1-Apr,28:06.3,12 - 406,278,61.54%,73 - 560,96%,38 - 37,10.33,26 - 16,262,4.82,121 - 125 - 16,31:53.7,2711,50 - 43,17 - 82 - 0,33.8,920 - 5573,40%,25%,20 - 12,65 - 2844,Texas State,97.40%,416 - 262 - 13 - 18,68.40%,12 - 332,179 - 69,14 - 6,http://www.cfbstats.com/2014/team/670
40.4,196 - 76,7 - 99 - 0,5.88,162 - 112 - 9,5-Sep,3427,9 - 166 - 2,45 - 33,81.80%,17.24,58 - 2343,548 - 2937 - 31,0 - 0,5.91,46 - 43,26,38 - 655 - 0,91.23%,20 - 13,22 - 18,455 - 1849 - 21,-,50%,65 - 529,370 - 238 - 9 - 15,140.98,5.36,73.33%,42.22%,898 - 5276,4.06,129.35,1-Feb,31:42.9,13 - 383,283,51.61%,60 - 466,93.50%,41 - 37,6.94,31 - 16,253,9.53,89 - 145 - 19,28:17.1,2489,57 - 52,15 - 143 - 1,29.5,918 - 5426,38.78%,50%,18 - 9,59 - 2486,Louisiana-Lafayette,90.20%,443 - 288 - 7 - 19,65%,13 - 338,180 - 76,18 - 10,http://www.cfbstats.com/2014/team/671
41.91,201 - 72,12 - 68 - 0,4.21,95 - 149 - 22,28 - 13,2313,8 - 33 - 0,33 - 27,68.20%,21.16,82 - 3437,477 - 2064 - 22,0 - 0,5.89,44 - 44,16.4,25 - 529 - 1,73.68%,14 - 11,22 - 15,443 - 1358 - 12,-,30%,75 - 630,381 - 248 - 8 - 20,105.79,4.33,81.82%,42.42%,873 - 3671,3.07,144.09,0 - 0,32:12.8,13 - 353,266,44.44%,81 - 699,100%,25 - 24,18.32,27 - 12,219,6.91,84 - 117 - 18,27:47.2,2988,57 - 42,23 - 159 - 0,27.2,858 - 5052,35.82%,-,3-Oct,59 - 2252,Stanford,96%,430 - 245 - 12 - 12,78.60%,13 - 213,165 - 70,14 - 4,http://www.cfbstats.com/2014/team/674
43.4,179 - 71,8 - 91 - 2,5,92 - 93 - 17,13 - 4,2519,17 - 296 - 2,40 - 31,73.90%,19.91,63 - 2734,424 - 1750 - 12,Jan-00,4.91,21 - 20,24.3,32 - 637 - 1,80%,24 - 19,23 - 17,493 - 1671 - 9,0%,50%,86 - 717,383 - 207 - 17 - 6,140.08,4.13,77.50%,34.08%,838 - 4190,3.39,98.79,1-Feb,26:41.1,12 - 205,202,63.64%,79 - 672,95.20%,31 - 31,8.35,7-Nov,240,14.3,100 - 120 - 20,33:18.9,2209,35 - 28,23 - 329 - 2,17.1,807 - 3959,39.66%,50%,6-Dec,76 - 3182,Syracuse,100%,345 - 225 - 8 - 19,79.20%,12 - 292,179 - 61,21 - 12,http://www.cfbstats.com/2014/team/688
37.07,184 - 64,11 - 315 - 2,4.75,74 - 93 - 15,25 - 11,2243,16 - 101 - 2,33 - 24,62.50%,19.02,73 - 2706,369 - 1293 - 11,Jan-00,4.79,32 - 32,17.5,48 - 913 - 0,69.05%,23 - 14,24 - 15,509 - 1922 - 12,0%,50%,78 - 653,403 - 214 - 16 - 13,112.3,3.5,72.73%,23.49%,876 - 4165,3.78,106,0 - 0,26:47.7,12 - 277,182,33.33%,74 - 721,100%,24 - 24,12.28,18 - 6,233,2.95,111 - 101 - 21,33:12.3,2408,42 - 29,22 - 65 - 0,23.1,772 - 3701,34.78%,-,22 - 11,74 - 2780,Temple,100%,367 - 216 - 11 - 9,60.90%,12 - 210,166 - 39,27 - 19,http://www.cfbstats.com/2014/team/690
41.12,190 - 65,16 - 157 - 1,5.31,118 - 139 - 20,18 - 8,2551,14 - 163 - 1,34 - 32,76.90%,18.81,84 - 3454,524 - 1903 - 20,2-Feb,4.93,43 - 42,24.2,54 - 1016 - 0,92.59%,17 - 11,26 - 20,515 - 2189 - 23,100%,58.33%,54 - 444,453 - 281 - 14 - 23,115.68,3.63,94.12%,38.94%,892 - 4740,4.25,126.64,Jan-00,30:14.5,13 - 376,277,40%,78 - 620,97.70%,40 - 36,9.68,15 - 6,244,3.23,120 - 110 - 14,29:45.5,2914,54 - 50,22 - 71 - 0,28.9,977 - 4817,34.21%,0%,7-Dec,80 - 3378,Tennessee,90%,377 - 201 - 16 - 16,64.70%,13 - 315,208 - 81,19 - 8,http://www.cfbstats.com/2014/team/694
40.94,205 - 82,5 - 45 - 0,5.91,106 - 179 - 15,15 - 5,3052,15 - 178 - 2,43 - 37,86.70%,19.69,69 - 2825,421 - 1949 - 20,0 - 0,6.33,59 - 59,28.1,36 - 709 - 0,87.76%,28 - 17,15 - 13,561 - 2808 - 23,-,57.89%,68 - 663,514 - 332 - 15 - 39,127.86,4.63,86.05%,40.78%,992 - 5860,5.01,148.69,0 - 0,26:14.4,13 - 458,300,60%,77 - 624,100%,45 - 44,12.45,20 - 12,302,7.46,139 - 139 - 24,33:44.8,3971,49 - 43,13 - 97 - 0,35.2,935 - 5920,40%,-,19 - 11,62 - 2737,Texas A&M,97.80%,431 - 242 - 5 - 19,60.70%,13 - 365,179 - 73,17 - 8,http://www.cfbstats.com/2014/team/697
43.29,219 - 61,26 - 378 - 5,4.66,139 - 173 - 19,25 - 11,3029,11 - 99 - 1,32 - 27,81.50%,20.19,100 - 4329,509 - 2689 - 32,0 - 0,6.68,77 - 76,19,57 - 1151 - 0,86.15%,18 - 17,27 - 22,508 - 1414 - 9,-,50%,82 - 752,529 - 325 - 11 - 37,106.64,5.28,84.38%,42.93%,953 - 4443,2.78,147.69,0 - 0,30:37.4,13 - 604,331,54.55%,71 - 650,98.70%,28 - 26,9.86,22 - 12,218,-1.13,86 - 119 - 13,29:22.6,4240,65 - 56,8 - -9 - 0,46.5,1038 - 6929,27.85%,-,14 - 7,64 - 2507,TCU,92.90%,445 - 216 - 26 - 17,94.40%,13 - 247,198 - 85,25 - 14,http://www.cfbstats.com/2014/team/698
43.72,194 - 91,6 - 42 - 0,6.24,95 - 178 - 23,19 - 10,3038,18 - 149 - 0,57 - 52,71.40%,20.97,50 - 2186,355 - 1836 - 8,Apr-00,6.62,44 - 42,41.3,35 - 734 - 0,76.32%,23 - 18,14 - 10,600 - 3114 - 36,0%,43.48%,112 - 1070,559 - 332 - 18 - 40,145.15,5.17,91.23%,43.68%,986 - 6152,5.19,139.87,Jan-00,26:05.3,12 - 366,296,61.90%,69 - 642,95.50%,62 - 61,3.61,21 - 13,325,3.57,164 - 130 - 31,33:54.7,4213,38 - 29,14 - 50 - 0,30.5,914 - 6049,46.91%,0%,23 - 10,54 - 2303,Texas Tech,98.40%,386 - 228 - 6 - 27,78.30%,12 - 495,174 - 76,20 - 9,http://www.cfbstats.com/2014/team/700
40.66,215 - 76,15 - 183 - 2,4.68,100 - 115 - 17,22 - 14,2395,11 - 239 - 2,44 - 33,66.70%,30.07,82 - 3334,474 - 1786 - 18,Feb-00,4.92,32 - 30,23.8,15 - 451 - 1,78.57%,17 - 13,21 - 14,549 - 2136 - 17,0%,50%,77 - 664,418 - 243 - 11 - 14,110.04,3.77,75%,34.33%,968 - 4531,3.89,116.15,Jan-00,29:42.7,13 - 278,232,54.17%,71 - 655,93.80%,38 - 37,8.05,24 - 13,251,10.18,122 - 112 - 17,30:17.3,2599,42 - 33,33 - 336 - 0,21.4,892 - 4385,35.35%,0%,14 - 7,87 - 3678,Texas,97.40%,419 - 247 - 15 - 13,76.50%,13 - 310,201 - 69,16 - 7,http://www.cfbstats.com/2014/team/703
41.76,161 - 59,11 - 138 - 2,6.3,138 - 72 - 16,15 - 6,2486,6 - 110 - 1,43 - 37,81.30%,17.47,62 - 2589,573 - 2701 - 27,0 - 0,5.3,44 - 43,28.1,19 - 332 - 0,84.09%,15 - 8,16 - 13,439 - 2299 - 26,-,33.33%,65 - 514,287 - 159 - 6 - 12,129.45,4.71,86.05%,42.19%,760 - 4785,5.24,119.4,Jan-00,34:57.5,13 - 346,226,28.57%,72 - 570,97.70%,48 - 47,5.07,14 - 4,211,10.39,105 - 95 - 11,25:02.5,1858,44 - 37,36 - 374 - 1,26.6,860 - 4559,36.65%,0%,15 - 5,71 - 2909,UTEP,97.90%,321 - 166 - 11 - 19,53.30%,13 - 365,192 - 81,22 - 10,http://www.cfbstats.com/2014/team/704
40.71,193 - 82,9 - 95 - 0,5.23,84 - 102 - 14,25 - 10,2754,12 - 219 - 3,41 - 34,81%,20.41,69 - 2809,440 - 1466 - 15,0 - 0,4.48,22 - 20,25.9,32 - 653 - 0,81.25%,24 - 20,21 - 17,471 - 1682 - 14,-,62.50%,85 - 789,356 - 203 - 12 - 7,129.91,3.33,82.93%,28.25%,848 - 4436,3.57,106.41,1-Jan,29:39.8,12 - 205,200,36.36%,75 - 636,90.90%,34 - 33,4.52,4-Nov,238,4.79,94 - 112 - 32,30:20.3,2104,32 - 26,24 - 115 - 0,17.1,796 - 3570,42.49%,100%,16 - 10,84 - 3459,UTSA,97.10%,377 - 217 - 9 - 18,83.30%,12 - 311,177 - 50,18 - 10,http://www.cfbstats.com/2014/team/706
39.66,190 - 82,10 - 93 - 0,5.81,162 - 137 - 22,22 - 8,3792,9 - 242 - 1,54 - 48,77.30%,18.89,68 - 2697,576 - 3333 - 35,1-Jan,6.55,60 - 57,30.5,47 - 888 - 0,88.71%,19 - 15,22 - 17,431 - 1511 - 13,100%,64.29%,78 - 669,397 - 243 - 9 - 24,148.37,5.79,88.89%,45.99%,912 - 5303,3.51,141.04,1-Apr,31:27.6,13 - 476,321,62.50%,63 - 547,95%,47 - 43,6.76,16 - 10,283,7.38,88 - 173 - 22,28:32.4,3044,62 - 55,8 - 59 - 0,36.6,973 - 6377,43.16%,25%,14 - 9,53 - 1966,Toledo,91.50%,481 - 293 - 10 - 37,78.90%,13 - 396,187 - 86,4-Oct,http://www.cfbstats.com/2014/team/709
39.82,166 - 84,11 - 95 - 1,6.38,116 - 91 - 14,16 - 10,2495,4/26/2000,54 - 50,71.40%,25.03,38 - 1513,460 - 1974 - 18,Jan-00,5.34,32 - 32,36.2,34 - 851 - 0,77.78%,15 - 14,14 - 10,521 - 2953 - 35,0%,48%,74 - 717,357 - 238 - 4 - 12,136.71,4.29,92.59%,38.67%,854 - 5448,5.67,131.64,Jan-00,29:21.5,12 - 262,221,58.82%,55 - 477,100%,55 - 54,6.56,17 - 10,279,8.6,149 - 111 - 19,30:38.5,2385,36 - 28,20 - 172 - 1,21.8,817 - 4359,50.60%,0%,25 - 12,63 - 2472,Troy,98.20%,333 - 205 - 11 - 19,93.30%,12 - 434,181 - 70,7-Nov,http://www.cfbstats.com/2014/team/716
40.2,162 - 61,17 - 86 - 0,5.65,93 - 105 - 28,14 - 7,2759,18 - 231 - 5,54 - 37,50%,25.62,51 - 2050,419 - 1746 - 11,0 - 0,4.83,24 - 22,28.4,21 - 538 - 0,66.67%,27 - 17,16 - 8,447 - 1895 - 16,-,25.93%,90 - 841,443 - 240 - 18 - 13,126.57,4.17,68.52%,33.16%,824 - 4654,4.24,101.53,1-Jan,30:31.9,12 - 192,226,38.89%,76 - 703,91.70%,40 - 40,4.56,18 - 7,246,7.3,106 - 117 - 23,29:28.1,2415,33 - 22,23 - 168 - 0,16,862 - 4161,37.65%,100%,27 - 7,72 - 2683,Tulane,100%,377 - 220 - 17 - 18,63%,12 - 341,187 - 62,21 - 11,http://www.cfbstats.com/2014/team/718
40.07,180 - 75,8 - 116 - 1,6.95,107 - 140 - 23,5-Sep,3265,18 - 202 - 3,52 - 43,66.70%,15.62,59 - 2364,477 - 1774 - 11,2-Mar,5.17,34 - 34,39.3,37 - 578 - 0,76.09%,22 - 12,18 - 12,467 - 2576 - 30,66.67%,39.29%,78 - 768,481 - 263 - 18 - 23,156.67,3.72,82.69%,38.42%,841 - 5841,5.52,118.45,1-Feb,31:34.6,12 - 296,270,68.75%,71 - 643,100%,59 - 59,7.47,16 - 11,261,7,115 - 123 - 23,28:25.4,3176,46 - 35,19 - 133 - 0,24.7,958 - 4950,41.67%,50%,28 - 11,70 - 2943,Tulsa,100%,374 - 232 - 8 - 29,54.50%,12 - 471,203 - 78,16 - 7,http://www.cfbstats.com/2014/team/719
39.85,194 - 71,10 - 72 - 0,5.73,198 - 74 - 15,20 - 13,3368,4 - 110 - 1,42 - 34,86.40%,20.69,68 - 2710,796 - 3550 - 34,2-Mar,5.43,47 - 46,24.2,36 - 745 - 0,90%,19 - 14,22 - 19,461 - 1763 - 17,66.67%,71.43%,46 - 460,206 - 117 - 4 - 15,130.85,4.46,80.95%,46.95%,895 - 5131,3.82,154.14,0 - 0,31:32.8,13 - 409,287,45.16%,59 - 535,97.90%,39 - 38,5.07,31 - 14,249,7.31,91 - 144 - 14,28:27.2,1893,60 - 54,13 - 95 - 0,31.5,1002 - 5443,36.60%,-,28 - 20,61 - 2662,Air Force,97.40%,434 - 239 - 10 - 20,73.70%,13 - 314,213 - 100,14 - 8,http://www.cfbstats.com/2014/team/721
38.47,149 - 68,11 - 237 - 2,6.48,181 - 25 - 10,18 - 11,2854,2/28/2000,56 - 50,53.80%,22.3,36 - 1385,665 - 3558 - 33,1-Feb,5.59,38 - 36,32.9,40 - 892 - 0,74.36%,17 - 15,13 - 7,436 - 2316 - 19,50%,51.61%,49 - 435,105 - 50 - 2 - 3,155.81,5.35,89.29%,40.91%,798 - 5170,5.31,113,2-Feb,31:19.7,12 - 299,216,69.57%,54 - 460,94.70%,47 - 46,4.06,23 - 16,261,3,117 - 131 - 13,28:40.3,747,39 - 29,5/15/2000,24.9,770 - 4305,45.64%,100%,31 - 16,44 - 1731,Army,97.90%,362 - 244 - 11 - 31,88.20%,12 - 395,154 - 63,4-Sep,http://www.cfbstats.com/2014/team/725
42.63,177 - 76,13 - 279 - 1,5.83,222 - 37 - 10,24 - 17,2668,5 - 59 - 1,52 - 41,64.30%,22.25,48 - 2046,727 - 4395 - 45,1-Feb,6.36,53 - 53,27.3,52 - 1157 - 0,87.27%,23 - 15,14 - 9,522 - 2582 - 18,50%,58.33%,33 - 324,130 - 62 - 5 - 9,136.61,6.05,78.85%,47.80%,901 - 5250,4.95,131.21,Apr-00,30:13.7,13 - 414,269,54.55%,57 - 540,100%,41 - 40,3.4,22 - 12,278,6.06,151 - 120 - 7,29:46.3,1058,55 - 48,16 - 97 - 1,31.8,857 - 5453,42.94%,0%,24 - 14,39 - 1678,Navy,97.60%,379 - 247 - 13 - 22,65.20%,13 - 355,159 - 76,5-Dec,http://www.cfbstats.com/2014/team/726
40.17,234 - 83,19 - 298 - 2,4.76,120 - 99 - 24,23 - 10,3155,11 - 215 - 1,38 - 33,57.10%,17.55,90 - 3615,512 - 2521 - 22,0 - 0,5.89,49 - 45,19.7,42 - 737 - 0,76.92%,21 - 15,21 - 12,558 - 1830 - 16,-,15.38%,101 - 918,389 - 243 - 11 - 20,111.42,4.92,86.84%,32.98%,1047 - 4985,3.28,133.86,0 - 0,29:22.4,14 - 377,243,44.83%,111 - 944,91.80%,33 - 31,8.97,29 - 13,267,3.45,108 - 132 - 27,30:37.6,2782,39 - 30,22 - 76 - 0,26.9,901 - 5303,35.47%,-,13 - 2,85 - 3420,Utah State,93.90%,489 - 265 - 19 - 16,71.40%,14 - 276,191 - 63,20 - 11,http://www.cfbstats.com/2014/team/731
42.31,199 - 74,12 - 172 - 3,5.34,126 - 112 - 15,20 - 8,3206,8 - 77 - 2,39 - 33,82.10%,20.77,83 - 3512,565 - 2475 - 21,Feb-00,5.35,45 - 44,24.9,35 - 727 - 1,84.44%,21 - 15,28 - 23,507 - 1909 - 12,0%,53.85%,77 - 702,378 - 229 - 8 - 20,130.71,4.38,84.62%,40.83%,957 - 5115,3.77,130.92,0 - 0,29:52.2,13 - 407,253,42.86%,75 - 662,97.80%,39 - 39,13.79,21 - 9,270,6.72,113 - 129 - 28,30:07.8,2570,45 - 38,18 - 121 - 0,31.3,943 - 5045,37.19%,-,13 - 7,80 - 3736,Utah,100%,450 - 267 - 12 - 23,71.40%,13 - 324,218 - 89,20 - 9,http://www.cfbstats.com/2014/team/732
40.67,166 - 70,6 - 75 - 1,5.72,78 - 93 - 22,18 - 10,2620,19 - 289 - 3,52 - 48,66.70%,21.58,52 - 2115,383 - 1311 - 7,2-Apr,4.68,22 - 22,33.3,26 - 561 - 0,73.08%,20 - 17,8-Dec,498 - 2205 - 23,50%,50%,73 - 630,357 - 180 - 19 - 13,140.39,3.42,92.31%,29.68%,844 - 4825,4.43,102.37,0 - 0,29:29.6,12 - 206,193,50%,77 - 615,100%,50 - 48,6.53,18 - 9,263,7.74,124 - 120 - 19,30:30.4,2149,26 - 19,23 - 178 - 2,17.2,740 - 3460,42.17%,-,18 - 9,70 - 2894,Vanderbilt,96%,346 - 215 - 6 - 19,85%,12 - 399,155 - 46,18 - 7,http://www.cfbstats.com/2014/team/736
42.49,198 - 57,12 - 228 - 2,5.15,105 - 130 - 26,21 - 11,2587,15 - 94 - 2,42 - 30,71.40%,20.37,83 - 3527,507 - 1923 - 12,1-Feb,4.93,34 - 33,20.2,46 - 937 - 0,87.50%,32 - 18,28 - 20,484 - 1882 - 15,50%,50%,98 - 770,456 - 271 - 15 - 19,109.17,3.79,71.43%,38.79%,868 - 4469,3.89,118.65,0 - 0,31:24.8,13 - 313,261,27.78%,91 - 768,97.10%,30 - 28,7,18 - 5,216,3.07,95 - 105 - 16,28:35.2,2826,48 - 42,29 - 89 - 0,24.1,963 - 4749,28.79%,-,14 - 7,83 - 3314,Virginia Tech,93.30%,384 - 183 - 12 - 13,56.30%,13 - 262,214 - 83,19 - 10,http://www.cfbstats.com/2014/team/742
41.9,173 - 67,15 - 130 - 3,5.14,86 - 136 - 19,17 - 8,2790,16 - 134 - 2,39 - 32,81.50%,18.81,67 - 2807,451 - 1653 - 13,0 - 0,5.08,35 - 34,24.1,32 - 602 - 1,83.67%,18 - 13,27 - 22,431 - 1448 - 11,-,47.06%,78 - 693,432 - 248 - 16 - 18,123.11,3.67,82.05%,41.84%,825 - 4238,3.36,118.91,Feb-00,31:38.9,12 - 310,241,40%,88 - 711,97.10%,34 - 34,4.42,4-Oct,225,10.5,83 - 118 - 24,28:21.1,2837,49 - 41,24 - 252 - 2,25.8,883 - 4490,38.73%,0%,17 - 8,62 - 2500,Virginia,100%,394 - 218 - 15 - 19,72.20%,12 - 289,196 - 82,25 - 14,http://www.cfbstats.com/2014/team/746
40.97,191 - 78,6 - 136 - 1,5.22,51 - 102 - 19,15 - 7,2239,14 - 204 - 3,44 - 36,78.90%,20.6,62 - 2540,383 - 479 - 4,0 - 0,3.38,19 - 19,26.4,25 - 515 - 0,72.73%,25 - 18,19 - 15,501 - 2192 - 20,-,40%,60 - 574,385 - 225 - 14 - 12,122.61,1.25,81.82%,28.26%,849 - 4431,4.38,107.63,0 - 0,28:44.0,12 - 178,172,46.15%,68 - 542,100%,38 - 35,8.68,13 - 6,231,5.93,114 - 94 - 23,31:16.0,2116,33 - 24,15 - 89 - 0,14.8,768 - 2595,40.84%,-,20 - 8,81 - 3535,Wake Forest,92.10%,348 - 211 - 6 - 12,72%,12 - 317,184 - 52,22 - 13,http://www.cfbstats.com/2014/team/749
43.68,173 - 68,3/19/2000,6.18,45 - 251 - 30,14 - 7,3559,18 - 173 - 2,53 - 46,64.70%,21.81,63 - 2752,243 - 478 - 5,1-Feb,6.12,48 - 47,38.6,53 - 1156 - 3,80.33%,21 - 18,17 - 11,430 - 1748 - 18,50%,45%,94 - 812,771 - 510 - 18 - 45,158.01,1.97,86.79%,41.49%,859 - 5307,4.07,143.19,Feb-00,31:24.3,12 - 382,326,55.56%,95 - 839,97.90%,57 - 55,7.17,18 - 10,256,17.32,88 - 140 - 28,28:30.7,5732,61 - 49,19 - 329 - 3,31.8,1014 - 6210,39.31%,0%,40 - 18,49 - 2039,Washington State,96.50%,429 - 276 - 3 - 33,85.70%,12 - 463,188 - 78,5-Nov,http://www.cfbstats.com/2014/team/754
42.41,219 - 83,13 - 289 - 4,5.38,139 - 121 - 20,33 - 11,4012,6 - 104 - 1,58 - 43,83.30%,20.3,70 - 2969,607 - 2640 - 23,2-Feb,5.4,50 - 47,24.8,63 - 1279 - 0,88.89%,24 - 20,24 - 20,529 - 1737 - 14,100%,50%,98 - 865,400 - 255 - 6 - 19,137.26,4.35,74.14%,40.74%,1068 - 5749,3.28,135.26,Feb-00,28:36.7,14 - 423,280,58.82%,85 - 738,94%,39 - 39,9.44,34 - 20,316,4.17,101 - 188 - 27,31:19.0,2801,45 - 40,12 - 50 - 0,30.2,1007 - 5441,37.90%,0%,22 - 11,72 - 2941,Washington,100%,539 - 343 - 13 - 26,83.30%,14 - 347,216 - 88,26 - 16,http://www.cfbstats.com/2014/team/756
41.96,208 - 65,12 - 106 - 2,5.43,125 - 175 - 37,28 - 19,3006,10 - 110 - 0,41 - 35,76.90%,22.33,91 - 3818,563 - 2376 - 18,Feb-00,5.92,47 - 47,27.6,49 - 1094 - 1,80%,25 - 21,39 - 30,502 - 2186 - 20,0%,45.45%,85 - 757,534 - 340 - 10 - 26,116.25,4.22,85.37%,42.36%,957 - 5192,4.35,140.81,0 - 0,29:52.8,13 - 435,337,30.43%,108 - 1072,100%,42 - 42,3.12,23 - 7,257,13.65,99 - 135 - 23,30:06.4,4121,50 - 40,17 - 232 - 3,33.5,1097 - 6497,31.25%,-,22 - 10,57 - 2383,West Virginia,100%,455 - 241 - 12 - 18,84%,13 - 359,229 - 97,13 - 2,http://www.cfbstats.com/2014/team/768
39.56,177 - 84,13 - 414 - 4,6.66,112 - 216 - 23,18 - 8,3759,10 - 199 - 1,66 - 49,76.20%,20.22,43 - 1701,429 - 2084 - 21,1-Apr,7.05,72 - 71,39.9,81 - 1638 - 3,88.06%,19 - 11,21 - 16,576 - 2870 - 33,25%,41.67%,76 - 743,557 - 378 - 10 - 49,158.49,4.86,74.24%,51.11%,996 - 6629,4.98,166.68,Feb-00,28:05.1,13 - 577,351,55.56%,84 - 763,98.60%,67 - 66,8,27 - 15,339,6.43,148 - 170 - 21,31:54.8,4866,67 - 59,14 - 90 - 0,44.4,986 - 6950,47.46%,0%,5-Dec,49 - 1817,Western Kentucky,98.50%,420 - 267 - 13 - 33,57.90%,13 - 519,180 - 92,21 - 10,http://www.cfbstats.com/2014/team/772
39.82,196 - 78,13 - 167 - 1,5.47,117 - 138 - 14,24 - 10,2829,10 - 240 - 1,46 - 34,82.40%,21.58,71 - 2827,503 - 2221 - 29,1-Jan,6.51,56 - 51,24.9,57 - 1230 - 0,88.46%,20 - 14,17 - 14,470 - 1996 - 19,100%,33.33%,69 - 665,372 - 253 - 10 - 26,119.67,4.42,73.91%,48.02%,882 - 4825,4.25,164.15,1-Jan,32:46.9,13 - 439,269,55%,72 - 622,91.10%,39 - 36,1.73,20 - 11,246,8.52,96 - 125 - 25,27:13.1,3475,52 - 46,21 - 179 - 0,33.8,875 - 5696,39.80%,100%,4-Dec,58 - 2484,Western Michigan,92.30%,412 - 222 - 13 - 18,70%,13 - 324,177 - 85,14 - 10,http://www.cfbstats.com/2014/team/774
43.08,190 - 54,6 - 121 - 0,4.91,189 - 103 - 16,23 - 10,2352,16 - 103 - 0,32 - 29,86.40%,19.9,98 - 4222,648 - 4482 - 46,0 - 0,6.77,61 - 59,20.8,63 - 1254 - 0,86.89%,18 - 15,22 - 19,492 - 1765 - 19,-,77.78%,65 - 607,322 - 177 - 16 - 15,116.74,6.92,90.63%,38.20%,839 - 4117,3.59,114.71,2-Mar,33:38.6,14 - 484,308,46.15%,82 - 645,96.70%,32 - 32,11.08,13 - 6,205,8.06,93 - 93 - 19,26:21.4,2082,61 - 53,18 - 145 - 0,34.6,970 - 6564,28.42%,66.67%,18 - 14,61 - 2263,Wisconsin,100%,347 - 170 - 6 - 15,83.30%,14 - 291,178 - 68,20 - 11,http://www.cfbstats.com/2014/team/796
43.29,161 - 69,3 - 51 - 0,6.54,83 - 124 - 14,14 - 8,2733,10 - 152 - 2,51 - 42,70.60%,24.41,51 - 2208,448 - 1838 - 17,0 - 0,5.55,31 - 31,32.8,34 - 830 - 1,77.14%,19 - 13,17 - 12,465 - 2436 - 24,-,45%,63 - 520,375 - 212 - 10 - 12,156.98,4.1,82.35%,39.79%,790 - 5169,5.24,122.98,1-Feb,32:27.6,12 - 253,221,33.33%,56 - 527,100%,49 - 47,10.19,15 - 5,252,18.29,120 - 122 - 10,27:32.4,2733,35 - 27,17 - 311 - 2,21.1,823 - 4571,42.86%,50%,20 - 9,67 - 2761,Wyoming,95.90%,325 - 214 - 3 - 22,68.40%,12 - 394,191 - 76,21 - 13,http://www.cfbstats.com/2014/team/811
